---
source: "AlAs. Data source: Dissertation, Vassil Palankovski (k data below 300K is GaAs data multiplied by room temp ratios)"
---

T (K)	rho_cp (J/m³K)	S (W/mK)
1.3155580e+02	1.3087290e+06	2.6038180e+02
1.3318890e+02	1.3165050e+06	2.5556300e+02
1.3484220e+02	1.3241560e+06	2.5084680e+02
1.3651610e+02	1.3316810e+06	2.4623380e+02
1.3821080e+02	1.3390810e+06	2.4172450e+02
1.3992660e+02	1.3463540e+06	2.3731900e+02
1.4166360e+02	1.3535010e+06	2.3301740e+02
1.4342220e+02	1.3605240e+06	2.2881950e+02
1.4520260e+02	1.3674220e+06	2.2472470e+02
1.4700510e+02	1.3741980e+06	2.2073240e+02
1.4883000e+02	1.3808530e+06	2.1684150e+02
1.5067750e+02	1.3873900e+06	2.1305070e+02
1.5254800e+02	1.3938100e+06	2.0935850e+02
1.5444170e+02	1.4001180e+06	2.0576270e+02
1.5635890e+02	1.4063170e+06	2.0226100e+02
1.5829990e+02	1.4124110e+06	1.9885080e+02
1.6026500e+02	1.4184050e+06	1.9552890e+02
1.6225450e+02	1.4243050e+06	1.9229180e+02
1.6426870e+02	1.4301160e+06	1.8913530e+02
1.6630790e+02	1.4358450e+06	1.8605500e+02
1.6837250e+02	1.4415000e+06	1.8304590e+02
1.7046260e+02	1.4470890e+06	1.8010240e+02
1.7257870e+02	1.4526220e+06	1.7721830e+02
1.7472110e+02	1.4581070e+06	1.7438680e+02
1.7689000e+02	1.4635560e+06	1.7160060e+02
1.7908590e+02	1.4689810e+06	1.6885170e+02
1.8130900e+02	1.4743930e+06	1.6613560e+02
1.8355980e+02	1.4797930e+06	1.6345330e+02
1.8583840e+02	1.4851810e+06	1.6080590e+02
1.8814540e+02	1.4905520e+06	1.5819490e+02
1.9048100e+02	1.4959060e+06	1.5562160e+02
1.9284560e+02	1.5012400e+06	1.5308730e+02
1.9523950e+02	1.5065500e+06	1.5059320e+02
1.9766320e+02	1.5118350e+06	1.4814080e+02
2.0011700e+02	1.5170920e+06	1.4573140e+02
2.0260120e+02	1.5223170e+06	1.4336630e+02
2.0511620e+02	1.5275090e+06	1.4104680e+02
2.0766250e+02	1.5326630e+06	1.3877420e+02
2.1024040e+02	1.5377760e+06	1.3654990e+02
2.1285030e+02	1.5428460e+06	1.3437520e+02
2.1549250e+02	1.5478690e+06	1.3225130e+02
2.1816760e+02	1.5528420e+06	1.3017960e+02
2.2087590e+02	1.5577600e+06	1.2816130e+02
2.2361780e+02	1.5626200e+06	1.2619770e+02
2.2639380e+02	1.5674190e+06	1.2428940e+02
2.2920420e+02	1.5721520e+06	1.2243570e+02
2.3204950e+02	1.5768140e+06	1.2063550e+02
2.3493010e+02	1.5814020e+06	1.1888740e+02
2.3784650e+02	1.5859120e+06	1.1719000e+02
2.4079910e+02	1.5903380e+06	1.1554140e+02
2.4378830e+02	1.5946780e+06	1.1393970e+02
2.4681460e+02	1.5989310e+06	1.1238250e+02
2.4987860e+02	1.6030970e+06	1.1086740e+02
2.5298050e+02	1.6071770e+06	1.0939160e+02
2.5612090e+02	1.6111720e+06	1.0795180e+02
2.5930040e+02	1.6150820e+06	1.0654480e+02
2.6251930e+02	1.6189080e+06	1.0516660e+02
2.6577820e+02	1.6226510e+06	1.0381320e+02
2.6907750e+02	1.6263140e+06	1.0248010e+02
2.7241770e+02	1.6298980e+06	1.0116240e+02
2.7579950e+02	1.6334060e+06	9.9854640e+01
2.7922320e+02	1.6368390e+06	9.8551190e+01
2.8268940e+02	1.6402020e+06	9.7245780e+01
2.8619870e+02	1.6434980e+06	9.5931690e+01
2.8975150e+02	1.6467290e+06	9.4601660e+01
2.9334840e+02	1.6499010e+06	9.3247940e+01
2.9699000e+02	1.6530190e+06	9.1862140e+01
3.0067680e+02	1.6560870e+06	9.0719510e+01
3.0440930e+02	1.6591080e+06	8.9199030e+01
3.0818820e+02	1.6620810e+06	8.7704040e+01
3.1201400e+02	1.6650030e+06	8.6234100e+01
3.1588730e+02	1.6678710e+06	8.4788800e+01
3.1980860e+02	1.6706830e+06	8.3367730e+01
3.2377870e+02	1.6734360e+06	8.1970470e+01
3.2779800e+02	1.6761260e+06	8.0596630e+01
3.3186720e+02	1.6787500e+06	7.9245810e+01
3.3598700e+02	1.6813070e+06	7.7917640e+01
3.4015780e+02	1.6837920e+06	7.6611730e+01
3.4438050e+02	1.6862010e+06	7.5327700e+01
3.4865560e+02	1.6885330e+06	7.4065190e+01
3.5298370e+02	1.6907830e+06	7.2823850e+01
3.5736560e+02	1.6929470e+06	7.1603310e+01
3.6180190e+02	1.6950220e+06	7.0403220e+01
3.6629320e+02	1.6970090e+06	6.9223250e+01
3.7084030e+02	1.6989130e+06	6.8063060e+01
3.7544380e+02	1.7007370e+06	6.6922310e+01
3.8010450e+02	1.7024890e+06	6.5800680e+01
3.8482310e+02	1.7041740e+06	6.4697850e+01
3.8960020e+02	1.7058000e+06	6.3613500e+01
3.9443660e+02	1.7073750e+06	6.2547330e+01
3.9933310e+02	1.7089060e+06	6.1499020e+01
4.0429030e+02	1.7104020e+06	6.0468290e+01
4.0930910e+02	1.7118750e+06	5.9454830e+01
4.1439020e+02	1.7133340e+06	5.8458350e+01
4.1953430e+02	1.7147910e+06	5.7478580e+01
4.2474240e+02	1.7162540e+06	5.6515230e+01
4.3001500e+02	1.7177150e+06	5.5568020e+01
4.3535310e+02	1.7191590e+06	5.4636690e+01
4.4075750e+02	1.7205720e+06	5.3720970e+01
4.4622900e+02	1.7219370e+06	5.2820600e+01
4.5176840e+02	1.7232370e+06	5.1935320e+01
4.5737660e+02	1.7244520e+06	5.1064870e+01
4.6305440e+02	1.7255640e+06	5.0209010e+01
4.6880260e+02	1.7265500e+06	4.9367500e+01
4.7462230e+02	1.7273880e+06	4.8540090e+01
4.8051410e+02	1.7280540e+06	4.7726550e+01
4.8647910e+02	1.7285330e+06	4.6926650e+01
4.9251820e+02	1.7288440e+06	4.6140150e+01
4.9863220e+02	1.7290110e+06	4.5366830e+01
5.0482220e+02	1.7290630e+06	4.4606470e+01
5.1108890e+02	1.7290290e+06	4.3858860e+01
5.1743350e+02	1.7289420e+06	4.3123780e+01
5.2385680e+02	1.7288360e+06	4.2401020e+01
5.3035990e+02	1.7287490e+06	4.1690370e+01
5.3694360e+02	1.7287210e+06	4.0991630e+01
5.4360920e+02	1.7287960e+06	4.0304600e+01
5.5035740e+02	1.7290200e+06	3.9629090e+01
5.5718950e+02	1.7294430e+06	3.8964900e+01
5.6410630e+02	1.7301190e+06	3.8311840e+01
5.7110900e+02	1.7311050e+06	3.7669730e+01
5.7819860e+02	1.7324610e+06	3.7038380e+01
5.8537630e+02	1.7342530e+06	3.6417610e+01
5.9264300e+02	1.7365500e+06	3.5807240e+01
6.0000000e+02	1.7394260e+06	3.5207100e+01
