---
source: "GaN Data source: C is from heat capacity of 4H-SiC, k was"
author: "Jia"
---

T (K)	rho_cp (J/m³K)	Sz (W/mK)	Sr (W/mK)
3.0800000e+02	2.1994582e+06	3.2142857e+02	3.7433571e+02
3.0900000e+02	2.2076827e+06	3.2038835e+02	3.7312427e+02
3.1000000e+02	2.2158612e+06	3.1935484e+02	3.7192065e+02
3.1100000e+02	2.2239939e+06	3.1832797e+02	3.7072475e+02
3.1200000e+02	2.2320813e+06	3.1730769e+02	3.6953654e+02
3.1300000e+02	2.2401237e+06	3.1629393e+02	3.6835591e+02
3.1400000e+02	2.2481215e+06	3.1528662e+02	3.6718280e+02
3.1500000e+02	2.2560751e+06	3.1428571e+02	3.6601714e+02
3.1600000e+02	2.2639849e+06	3.1329114e+02	3.6485886e+02
3.1700000e+02	2.2718511e+06	3.1230284e+02	3.6370789e+02
3.1800000e+02	2.2796741e+06	3.1132075e+02	3.6256415e+02
3.1900000e+02	2.2874544e+06	3.1034483e+02	3.6142759e+02
3.2000000e+02	2.2951921e+06	3.0937500e+02	3.6029813e+02
3.2100000e+02	2.3028877e+06	3.0841121e+02	3.5917570e+02
3.2200000e+02	2.3105415e+06	3.0745342e+02	3.5806025e+02
3.2300000e+02	2.3181539e+06	3.0650155e+02	3.5695171e+02
3.2400000e+02	2.3257251e+06	3.0555556e+02	3.5585001e+02
3.2500000e+02	2.3332554e+06	3.0461538e+02	3.5475507e+02
3.2600000e+02	2.3407453e+06	3.0368098e+02	3.5366687e+02
3.2700000e+02	2.3481950e+06	3.0275229e+02	3.5258532e+02
3.2800000e+02	2.3556049e+06	3.0182927e+02	3.5151037e+02
3.2900000e+02	2.3629752e+06	3.0091185e+02	3.5044194e+02
3.3000000e+02	2.3703063e+06	3.0000000e+02	3.4938000e+02
3.3100000e+02	2.3775985e+06	2.9909366e+02	3.4832448e+02
3.3200000e+02	2.3848520e+06	2.9819277e+02	3.4727530e+02
3.3300000e+02	2.3920672e+06	2.9729730e+02	3.4623244e+02
3.3400000e+02	2.3992444e+06	2.9640719e+02	3.4519581e+02
3.3500000e+02	2.4063838e+06	2.9552239e+02	3.4416538e+02
3.3600000e+02	2.4134859e+06	2.9464286e+02	3.4314107e+02
3.3700000e+02	2.4205507e+06	2.9376855e+02	3.4212285e+02
3.3800000e+02	2.4275787e+06	2.9289941e+02	3.4111065e+02
3.3900000e+02	2.4345701e+06	2.9203540e+02	3.4010443e+02
3.4000000e+02	2.4415252e+06	2.9117647e+02	3.3910412e+02
3.4100000e+02	2.4484443e+06	2.9032258e+02	3.3810968e+02
3.4200000e+02	2.4553276e+06	2.8947368e+02	3.3712105e+02
3.4300000e+02	2.4621754e+06	2.8862974e+02	3.3613820e+02
3.4400000e+02	2.4689881e+06	2.8779070e+02	3.3516105e+02
3.4500000e+02	2.4757658e+06	2.8695652e+02	3.3418956e+02
3.4600000e+02	2.4825088e+06	2.8612717e+02	3.3322370e+02
3.4700000e+02	2.4892173e+06	2.8530259e+02	3.3226340e+02
3.4800000e+02	2.4958918e+06	2.8448276e+02	3.3130862e+02
3.4900000e+02	2.5025323e+06	2.8366762e+02	3.3035931e+02
3.5000000e+02	2.5091391e+06	2.8285714e+02	3.2941543e+02
3.5100000e+02	2.5157126e+06	2.8205128e+02	3.2847692e+02
3.5200000e+02	2.5222529e+06	2.8125000e+02	3.2754375e+02
3.5300000e+02	2.5287603e+06	2.8045326e+02	3.2661587e+02
3.5400000e+02	2.5352350e+06	2.7966102e+02	3.2569322e+02
3.5500000e+02	2.5416773e+06	2.7887324e+02	3.2477578e+02
3.5600000e+02	2.5480874e+06	2.7808989e+02	3.2386349e+02
3.5700000e+02	2.5544656e+06	2.7731092e+02	3.2295630e+02
3.5800000e+02	2.5608121e+06	2.7653631e+02	3.2205419e+02
3.5900000e+02	2.5671271e+06	2.7576602e+02	3.2115711e+02
3.6000000e+02	2.5734108e+06	2.7500000e+02	3.2026500e+02
3.6100000e+02	2.5796635e+06	2.7423823e+02	3.1937784e+02
3.6200000e+02	2.5858855e+06	2.7348066e+02	3.1849558e+02
3.6300000e+02	2.5920768e+06	2.7272727e+02	3.1761818e+02
3.6400000e+02	2.5982378e+06	2.7197802e+02	3.1674560e+02
3.6500000e+02	2.6043687e+06	2.7123288e+02	3.1587781e+02
3.6600000e+02	2.6104696e+06	2.7049180e+02	3.1501475e+02
3.6700000e+02	2.6165409e+06	2.6975477e+02	3.1415641e+02
3.6800000e+02	2.6225827e+06	2.6902174e+02	3.1330272e+02
3.6900000e+02	2.6285952e+06	2.6829268e+02	3.1245366e+02
3.7000000e+02	2.6345786e+06	2.6756757e+02	3.1160919e+02
3.7100000e+02	2.6405332e+06	2.6684636e+02	3.1076927e+02
3.7200000e+02	2.6464591e+06	2.6612903e+02	3.0993387e+02
3.7300000e+02	2.6523566e+06	2.6541555e+02	3.0910295e+02
3.7400000e+02	2.6582258e+06	2.6470588e+02	3.0827647e+02
3.7500000e+02	2.6640670e+06	2.6400000e+02	3.0745440e+02
3.7600000e+02	2.6698803e+06	2.6329787e+02	3.0663670e+02
3.7700000e+02	2.6756660e+06	2.6259947e+02	3.0582334e+02
3.7800000e+02	2.6814242e+06	2.6190476e+02	3.0501428e+02
3.7900000e+02	2.6871552e+06	2.6121372e+02	3.0420950e+02
3.8000000e+02	2.6928591e+06	2.6052632e+02	3.0340895e+02
3.8100000e+02	2.6985361e+06	2.5984252e+02	3.0261260e+02
3.8200000e+02	2.7041864e+06	2.5916230e+02	3.0182041e+02
3.8300000e+02	2.7098102e+06	2.5848564e+02	3.0103238e+02
