---
source: "Gold Data source: thermophysical properties of matter vol.4 curve 1 plus curve2, vol.1"
author: "Jia"
---

T (K)	rho_cp (J/m^3K)	S (W/mK)
4.1400000e+02	2.5964792e+06	3.1022565e+02
4.1500000e+02	2.5973648e+06	3.1016198e+02
4.1600000e+02	2.5982493e+06	3.1009826e+02
4.1700000e+02	2.5991326e+06	3.1003450e+02
4.1800000e+02	2.6000148e+06	3.0997069e+02
4.1900000e+02	2.6008958e+06	3.0990684e+02
4.2000000e+02	2.6017756e+06	3.0984295e+02
4.2100000e+02	2.6026543e+06	3.0977901e+02
4.2200000e+02	2.6035318e+06	3.0971503e+02
4.2300000e+02	2.6044081e+06	3.0965100e+02
4.2400000e+02	2.6052833e+06	3.0958694e+02
4.2500000e+02	2.6061574e+06	3.0952283e+02
4.2600000e+02	2.6070302e+06	3.0945867e+02
4.2700000e+02	2.6079019e+06	3.0939448e+02
4.2800000e+02	2.6087725e+06	3.0933024e+02
4.2900000e+02	2.6096418e+06	3.0926596e+02
4.3000000e+02	2.6105101e+06	3.0920163e+02
4.3100000e+02	2.6113771e+06	3.0913727e+02
4.3200000e+02	2.6122430e+06	3.0907286e+02
4.3300000e+02	2.6131077e+06	3.0900841e+02
4.3400000e+02	2.6139713e+06	3.0894392e+02
4.3500000e+02	2.6148337e+06	3.0887939e+02
4.3600000e+02	2.6156950e+06	3.0881481e+02
4.3700000e+02	2.6165551e+06	3.0875020e+02
4.3800000e+02	2.6174140e+06	3.0868555e+02
4.3900000e+02	2.6182717e+06	3.0862085e+02
4.4000000e+02	2.6191284e+06	3.0855612e+02
4.4100000e+02	2.6199838e+06	3.0849134e+02
4.4200000e+02	2.6208381e+06	3.0842652e+02
4.4300000e+02	2.6216912e+06	3.0836167e+02
4.4400000e+02	2.6225431e+06	3.0829677e+02
4.4500000e+02	2.6233939e+06	3.0823184e+02
4.4600000e+02	2.6242436e+06	3.0816686e+02
4.4700000e+02	2.6250920e+06	3.0810185e+02
4.4800000e+02	2.6259393e+06	3.0803679e+02
4.4900000e+02	2.6267855e+06	3.0797170e+02
4.5000000e+02	2.6276305e+06	3.0790657e+02
4.5100000e+02	2.6284743e+06	3.0784140e+02
4.5200000e+02	2.6293170e+06	3.0777619e+02
4.5300000e+02	2.6301585e+06	3.0771095e+02
4.5400000e+02	2.6309988e+06	3.0764567e+02
4.5500000e+02	2.6318380e+06	3.0758034e+02
4.5600000e+02	2.6326760e+06	3.0751498e+02
4.5700000e+02	2.6335129e+06	3.0744959e+02
4.5800000e+02	2.6343486e+06	3.0738415e+02
4.5900000e+02	2.6351831e+06	3.0731868e+02
4.6000000e+02	2.6360165e+06	3.0725317e+02
4.6100000e+02	2.6368487e+06	3.0718763e+02
4.6200000e+02	2.6376797e+06	3.0712205e+02
4.6300000e+02	2.6385096e+06	3.0705643e+02
4.6400000e+02	2.6393383e+06	3.0699077e+02
4.6500000e+02	2.6401659e+06	3.0692508e+02
4.6600000e+02	2.6409923e+06	3.0685936e+02
4.6700000e+02	2.6418175e+06	3.0679359e+02
4.6800000e+02	2.6426416e+06	3.0672780e+02
4.6900000e+02	2.6434645e+06	3.0666196e+02
4.7000000e+02	2.6442863e+06	3.0659609e+02
4.7100000e+02	2.6451069e+06	3.0653019e+02
4.7200000e+02	2.6459263e+06	3.0646425e+02
4.7300000e+02	2.6467446e+06	3.0639828e+02
4.7400000e+02	2.6475617e+06	3.0633227e+02
4.7500000e+02	2.6483776e+06	3.0626623e+02
4.7600000e+02	2.6491924e+06	3.0620015e+02
4.7700000e+02	2.6500060e+06	3.0613404e+02
4.7800000e+02	2.6508185e+06	3.0606790e+02
4.7900000e+02	2.6516298e+06	3.0600172e+02
4.8000000e+02	2.6524399e+06	3.0593551e+02
4.8100000e+02	2.6532489e+06	3.0586926e+02
4.8200000e+02	2.6540567e+06	3.0580298e+02
4.8300000e+02	2.6548634e+06	3.0573667e+02
4.8400000e+02	2.6556689e+06	3.0567033e+02
4.8500000e+02	2.6564732e+06	3.0560395e+02
4.8600000e+02	2.6572764e+06	3.0553754e+02
4.8700000e+02	2.6580784e+06	3.0547110e+02
4.8800000e+02	2.6588792e+06	3.0540463e+02
4.8900000e+02	2.6596789e+06	3.0533812e+02
4.9000000e+02	2.6604774e+06	3.0527159e+02
4.9100000e+02	2.6612748e+06	3.0520502e+02
4.9200000e+02	2.6620710e+06	3.0513842e+02
4.9300000e+02	2.6628660e+06	3.0507178e+02
4.9400000e+02	2.6636599e+06	3.0500512e+02
4.9500000e+02	2.6644526e+06	3.0493843e+02
4.9600000e+02	2.6652442e+06	3.0487170e+02
4.9700000e+02	2.6660346e+06	3.0480495e+02
4.9800000e+02	2.6668238e+06	3.0473816e+02
4.9900000e+02	2.6676119e+06	3.0467135e+02
5.0000000e+02	2.6683988e+06	3.0460450e+02
5.0100000e+02	2.6691845e+06	3.0453763e+02
5.0200000e+02	2.6699691e+06	3.0447072e+02
5.0300000e+02	2.6707525e+06	3.0440379e+02
5.0400000e+02	2.6715348e+06	3.0433682e+02
5.0500000e+02	2.6723159e+06	3.0426983e+02
5.0600000e+02	2.6730958e+06	3.0420281e+02
5.0700000e+02	2.6738746e+06	3.0413575e+02
5.0800000e+02	2.6746522e+06	3.0406867e+02
5.0900000e+02	2.6754287e+06	3.0400157e+02
5.1000000e+02	2.6762040e+06	3.0393443e+02
5.1100000e+02	2.6769781e+06	3.0386726e+02
5.1200000e+02	2.6777511e+06	3.0380007e+02
5.1300000e+02	2.6785229e+06	3.0373285e+02
5.1400000e+02	2.6792935e+06	3.0366560e+02
5.1500000e+02	2.6800630e+06	3.0359833e+02
5.1600000e+02	2.6808313e+06	3.0353102e+02
5.1700000e+02	2.6815985e+06	3.0346369e+02
5.1800000e+02	2.6823645e+06	3.0339634e+02
5.1900000e+02	2.6831293e+06	3.0332895e+02
5.2000000e+02	2.6838930e+06	3.0326154e+02
5.2100000e+02	2.6846555e+06	3.0319411e+02
5.2200000e+02	2.6854169e+06	3.0312664e+02
5.2300000e+02	2.6861771e+06	3.0305915e+02
5.2400000e+02	2.6869361e+06	3.0299164e+02
5.2500000e+02	2.6876940e+06	3.0292410e+02
5.2600000e+02	2.6884507e+06	3.0285653e+02
5.2700000e+02	2.6892062e+06	3.0278894e+02
5.2800000e+02	2.6899606e+06	3.0272132e+02
5.2900000e+02	2.6907138e+06	3.0265368e+02
5.3000000e+02	2.6914659e+06	3.0258601e+02
5.3100000e+02	2.6922168e+06	3.0251832e+02
5.3200000e+02	2.6929665e+06	3.0245060e+02
5.3300000e+02	2.6937151e+06	3.0238286e+02
5.3400000e+02	2.6944625e+06	3.0231510e+02
5.3500000e+02	2.6952088e+06	3.0224731e+02
5.3600000e+02	2.6959538e+06	3.0217950e+02
5.3700000e+02	2.6966978e+06	3.0211166e+02
5.3800000e+02	2.6974405e+06	3.0204380e+02
5.3900000e+02	2.6981821e+06	3.0197592e+02
5.4000000e+02	2.6989226e+06	3.0190801e+02
5.4100000e+02	2.6996619e+06	3.0184008e+02
5.4200000e+02	2.7004000e+06	3.0177213e+02
5.4300000e+02	2.7011370e+06	3.0170416e+02
5.4400000e+02	2.7018728e+06	3.0163616e+02
5.4500000e+02	2.7026074e+06	3.0156814e+02
5.4600000e+02	2.7033409e+06	3.0150010e+02
5.4700000e+02	2.7040732e+06	3.0143204e+02
5.4800000e+02	2.7048043e+06	3.0136395e+02
5.4900000e+02	2.7055343e+06	3.0129585e+02
5.5000000e+02	2.7062632e+06	3.0122772e+02
5.5100000e+02	2.7069908e+06	3.0115957e+02
5.5200000e+02	2.7077173e+06	3.0109140e+02
5.5300000e+02	2.7084427e+06	3.0102321e+02
5.5400000e+02	2.7091669e+06	3.0095500e+02
5.5500000e+02	2.7098899e+06	3.0088676e+02
5.5600000e+02	2.7106117e+06	3.0081851e+02
5.5700000e+02	2.7113324e+06	3.0075024e+02
5.5800000e+02	2.7120520e+06	3.0068195e+02
5.5900000e+02	2.7127703e+06	3.0061363e+02
5.6000000e+02	2.7134876e+06	3.0054530e+02
5.6100000e+02	2.7142036e+06	3.0047695e+02
5.6200000e+02	2.7149185e+06	3.0040858e+02
5.6300000e+02	2.7156322e+06	3.0034019e+02
5.6400000e+02	2.7163448e+06	3.0027178e+02
5.6500000e+02	2.7170562e+06	3.0020335e+02
5.6600000e+02	2.7177664e+06	3.0013490e+02
