---
source: "Amorphous SiO2. Data source: thermophysical properties of matter vol.5 curve 6 plus curve5, cahill 3w paper"
author: "Jia"
---

T (K)	rho_cp (J/m^3K)	S (W/mK)
3.8300000e+02	1.9231212e+06	1.4310628e+00
3.8400000e+02	1.9258951e+06	1.4323578e+00
3.8500000e+02	1.9286575e+06	1.4336487e+00
3.8600000e+02	1.9314083e+06	1.4349355e+00
3.8700000e+02	1.9341476e+06	1.4362184e+00
3.8800000e+02	1.9368754e+06	1.4374973e+00
3.8900000e+02	1.9395917e+06	1.4387723e+00
3.9000000e+02	1.9422966e+06	1.4400433e+00
3.9100000e+02	1.9449900e+06	1.4413105e+00
3.9200000e+02	1.9476720e+06	1.4425738e+00
3.9300000e+02	1.9503427e+06	1.4438333e+00
3.9400000e+02	1.9530019e+06	1.4450890e+00
3.9500000e+02	1.9556498e+06	1.4463409e+00
3.9600000e+02	1.9582864e+06	1.4475890e+00
3.9700000e+02	1.9609117e+06	1.4488335e+00
3.9800000e+02	1.9635257e+06	1.4500742e+00
3.9900000e+02	1.9661285e+06	1.4513113e+00
4.0000000e+02	1.9687200e+06	1.4525447e+00
4.0100000e+02	1.9713004e+06	1.4537745e+00
4.0200000e+02	1.9738695e+06	1.4550007e+00
4.0300000e+02	1.9764275e+06	1.4562233e+00
4.0400000e+02	1.9789743e+06	1.4574424e+00
4.0500000e+02	1.9815100e+06	1.4586579e+00
4.0600000e+02	1.9840346e+06	1.4598699e+00
4.0700000e+02	1.9865482e+06	1.4610785e+00
4.0800000e+02	1.9890507e+06	1.4622836e+00
4.0900000e+02	1.9915422e+06	1.4634853e+00
4.1000000e+02	1.9940227e+06	1.4646835e+00
4.1100000e+02	1.9964922e+06	1.4658784e+00
4.1200000e+02	1.9989507e+06	1.4670699e+00
4.1300000e+02	2.0013984e+06	1.4682580e+00
4.1400000e+02	2.0038351e+06	1.4694429e+00
4.1500000e+02	2.0062610e+06	1.4706244e+00
4.1600000e+02	2.0086760e+06	1.4718026e+00
4.1700000e+02	2.0110801e+06	1.4729776e+00
4.1800000e+02	2.0134735e+06	1.4741493e+00
4.1900000e+02	2.0158561e+06	1.4753178e+00
4.2000000e+02	2.0182279e+06	1.4764831e+00
4.2100000e+02	2.0205890e+06	1.4776452e+00
4.2200000e+02	2.0229394e+06	1.4788041e+00
4.2300000e+02	2.0252792e+06	1.4799599e+00
4.2400000e+02	2.0276082e+06	1.4811126e+00
4.2500000e+02	2.0299267e+06	1.4822621e+00
4.2600000e+02	2.0322345e+06	1.4834086e+00
4.2700000e+02	2.0345318e+06	1.4845520e+00
4.2800000e+02	2.0368185e+06	1.4856923e+00
4.2900000e+02	2.0390947e+06	1.4868296e+00
4.3000000e+02	2.0413604e+06	1.4879638e+00
4.3100000e+02	2.0436156e+06	1.4890951e+00
4.3200000e+02	2.0458604e+06	1.4902234e+00
4.3300000e+02	2.0480948e+06	1.4913487e+00
4.3400000e+02	2.0503188e+06	1.4924710e+00
4.3500000e+02	2.0525324e+06	1.4935904e+00
4.3600000e+02	2.0547356e+06	1.4947069e+00
4.3700000e+02	2.0569286e+06	1.4958205e+00
4.3800000e+02	2.0591113e+06	1.4969312e+00
4.3900000e+02	2.0612837e+06	1.4980390e+00
4.4000000e+02	2.0634459e+06	1.4991439e+00
4.4100000e+02	2.0655979e+06	1.5002460e+00
4.4200000e+02	2.0677397e+06	1.5013453e+00
4.4300000e+02	2.0698713e+06	1.5024418e+00
4.4400000e+02	2.0719929e+06	1.5035354e+00
4.4500000e+02	2.0741044e+06	1.5046263e+00
4.4600000e+02	2.0762057e+06	1.5057144e+00
4.4700000e+02	2.0782971e+06	1.5067997e+00
4.4800000e+02	2.0803785e+06	1.5078823e+00
4.4900000e+02	2.0824498e+06	1.5089621e+00
4.5000000e+02	2.0845113e+06	1.5100393e+00
4.5100000e+02	2.0865628e+06	1.5111137e+00
4.5200000e+02	2.0886044e+06	1.5121854e+00
4.5300000e+02	2.0906361e+06	1.5132544e+00
4.5400000e+02	2.0926580e+06	1.5143208e+00
4.5500000e+02	2.0946701e+06	1.5153845e+00
4.5600000e+02	2.0966725e+06	1.5164456e+00
4.5700000e+02	2.0986650e+06	1.5175041e+00
4.5800000e+02	2.1006479e+06	1.5185599e+00
4.5900000e+02	2.1026211e+06	1.5196131e+00
4.6000000e+02	2.1045846e+06	1.5206637e+00
4.6100000e+02	2.1065385e+06	1.5217117e+00
4.6200000e+02	2.1084828e+06	1.5227572e+00
4.6300000e+02	2.1104175e+06	1.5238001e+00
4.6400000e+02	2.1123427e+06	1.5248404e+00
4.6500000e+02	2.1142583e+06	1.5258782e+00
4.6600000e+02	2.1161645e+06	1.5269135e+00
4.6700000e+02	2.1180613e+06	1.5279463e+00
4.6800000e+02	2.1199486e+06	1.5289765e+00
4.6900000e+02	2.1218265e+06	1.5300042e+00
4.7000000e+02	2.1236951e+06	1.5310295e+00
4.7100000e+02	2.1255544e+06	1.5320523e+00
4.7200000e+02	2.1274043e+06	1.5330726e+00
4.7300000e+02	2.1292450e+06	1.5340904e+00
4.7400000e+02	2.1310765e+06	1.5351058e+00
4.7500000e+02	2.1328987e+06	1.5361188e+00
4.7600000e+02	2.1347118e+06	1.5371293e+00
4.7700000e+02	2.1365158e+06	1.5381374e+00
4.7800000e+02	2.1383106e+06	1.5391431e+00
4.7900000e+02	2.1400964e+06	1.5401464e+00
4.8000000e+02	2.1418731e+06	1.5411473e+00
4.8100000e+02	2.1436408e+06	1.5421458e+00
4.8200000e+02	2.1453995e+06	1.5431419e+00
4.8300000e+02	2.1471493e+06	1.5441357e+00
4.8400000e+02	2.1488902e+06	1.5451271e+00
4.8500000e+02	2.1506221e+06	1.5461162e+00
4.8600000e+02	2.1523453e+06	1.5471029e+00
4.8700000e+02	2.1540596e+06	1.5480872e+00
4.8800000e+02	2.1557651e+06	1.5490693e+00
4.8900000e+02	2.1574618e+06	1.5500490e+00
4.9000000e+02	2.1591499e+06	1.5510265e+00
4.9100000e+02	2.1608292e+06	1.5520016e+00
4.9200000e+02	2.1624999e+06	1.5529744e+00
4.9300000e+02	2.1641620e+06	1.5539450e+00
4.9400000e+02	2.1658155e+06	1.5549132e+00
4.9500000e+02	2.1674604e+06	1.5558792e+00
4.9600000e+02	2.1690968e+06	1.5568429e+00
4.9700000e+02	2.1707247e+06	1.5578044e+00
4.9800000e+02	2.1723441e+06	1.5587636e+00
4.9900000e+02	2.1739552e+06	1.5597206e+00
5.0000000e+02	2.1755578e+06	1.5606754e+00
5.0100000e+02	2.1771521e+06	1.5616279e+00
5.0200000e+02	2.1787380e+06	1.5625782e+00
5.0300000e+02	2.1803157e+06	1.5635263e+00
5.0400000e+02	2.1818851e+06	1.5644722e+00
5.0500000e+02	2.1834463e+06	1.5654159e+00
5.0600000e+02	2.1849993e+06	1.5663574e+00
5.0700000e+02	2.1865442e+06	1.5672967e+00
5.0800000e+02	2.1880809e+06	1.5682338e+00
5.0900000e+02	2.1896096e+06	1.5691688e+00
5.1000000e+02	2.1911302e+06	1.5701016e+00
5.1100000e+02	2.1926427e+06	1.5710322e+00
5.1200000e+02	2.1941473e+06	1.5719607e+00
5.1300000e+02	2.1956440e+06	1.5728870e+00
5.1400000e+02	2.1971327e+06	1.5738113e+00
5.1500000e+02	2.1986136e+06	1.5747333e+00
5.1600000e+02	2.2000866e+06	1.5756533e+00
5.1700000e+02	2.2015518e+06	1.5765711e+00
5.1800000e+02	2.2030093e+06	1.5774868e+00
5.1900000e+02	2.2044590e+06	1.5784004e+00
5.2000000e+02	2.2059010e+06	1.5793120e+00
5.2100000e+02	2.2073353e+06	1.5802214e+00
5.2200000e+02	2.2087620e+06	1.5811287e+00
5.2300000e+02	2.2101811e+06	1.5820340e+00
5.2400000e+02	2.2115927e+06	1.5829372e+00
5.2500000e+02	2.2129967e+06	1.5838383e+00
5.2600000e+02	2.2143932e+06	1.5847374e+00
