---
source: "Converted from Material_new/ xlsx data"
date: "AI_FDTRFit"
notes: ""
---

T (K)	rho_cp (J/m^3K)	S (W/mK)
4.1915000e+02	2.0026600e+06	1.4838277e+00
4.2015000e+02	2.0048600e+06	1.4850371e+00
4.2115000e+02	2.0075000e+06	1.4862391e+00
4.2215000e+02	2.0101400e+06	1.4874337e+00
4.2315000e+02	2.0125600e+06	1.4886205e+00
4.2415000e+02	2.0152000e+06	1.4897991e+00
4.2515000e+02	2.0176200e+06	1.4909694e+00
4.2615000e+02	2.0200400e+06	1.4921310e+00
4.2715000e+02	2.0222400e+06	1.4932836e+00
4.2815000e+02	2.0244400e+06	1.4944270e+00
4.2915000e+02	2.0266400e+06	1.4955607e+00
4.3015000e+02	2.0286200e+06	1.4966846e+00
4.3115000e+02	2.0308200e+06	1.4977987e+00
4.3215000e+02	2.0328000e+06	1.4989035e+00
4.3315000e+02	2.0350000e+06	1.4999992e+00
4.3415000e+02	2.0369800e+06	1.5010860e+00
4.3515000e+02	2.0389600e+06	1.5021643e+00
4.3615000e+02	2.0409400e+06	1.5032344e+00
4.3715000e+02	2.0429200e+06	1.5042965e+00
4.3815000e+02	2.0446800e+06	1.5053510e+00
4.3915000e+02	2.0466600e+06	1.5063981e+00
4.4015000e+02	2.0486400e+06	1.5074380e+00
4.4115000e+02	2.0506200e+06	1.5084712e+00
4.4215000e+02	2.0526000e+06	1.5094979e+00
4.4315000e+02	2.0548000e+06	1.5105183e+00
4.4415000e+02	2.0570000e+06	1.5115328e+00
4.4515000e+02	2.0592000e+06	1.5125416e+00
4.4615000e+02	2.0614000e+06	1.5135450e+00
4.4715000e+02	2.0636000e+06	1.5145434e+00
4.4815000e+02	2.0660200e+06	1.5155370e+00
4.4915000e+02	2.0680000e+06	1.5165261e+00
4.5015000e+02	2.0702000e+06	1.5175109e+00
4.5115000e+02	2.0724000e+06	1.5184919e+00
4.5215000e+02	2.0743800e+06	1.5194692e+00
4.5315000e+02	2.0763600e+06	1.5204431e+00
4.5415000e+02	2.0783400e+06	1.5214140e+00
4.5515000e+02	2.0801000e+06	1.5223820e+00
4.5615000e+02	2.0816400e+06	1.5233476e+00
4.5715000e+02	2.0829600e+06	1.5243110e+00
4.5815000e+02	2.0847200e+06	1.5252725e+00
4.5915000e+02	2.0862600e+06	1.5262323e+00
4.6015000e+02	2.0878000e+06	1.5271908e+00
4.6115000e+02	2.0893400e+06	1.5281483e+00
4.6215000e+02	2.0911000e+06	1.5291049e+00
4.6315000e+02	2.0928600e+06	1.5300611e+00
4.6415000e+02	2.0948400e+06	1.5310171e+00
4.6515000e+02	2.0966000e+06	1.5319732e+00
4.6615000e+02	2.0985800e+06	1.5329297e+00
4.6715000e+02	2.1001200e+06	1.5338868e+00
4.6815000e+02	2.1021000e+06	1.5348449e+00
4.6915000e+02	2.1040800e+06	1.5358043e+00
4.7015000e+02	2.1062800e+06	1.5367651e+00
4.7115000e+02	2.1082600e+06	1.5377278e+00
4.7215000e+02	2.1104600e+06	1.5386926e+00
4.7315000e+02	2.1124400e+06	1.5396598e+00
4.7415000e+02	2.1146400e+06	1.5406297e+00
4.7515000e+02	2.1166200e+06	1.5416026e+00
4.7615000e+02	2.1186000e+06	1.5425787e+00
4.7715000e+02	2.1203600e+06	1.5435583e+00
4.7815000e+02	2.1221200e+06	1.5445418e+00
4.7915000e+02	2.1236600e+06	1.5455294e+00
4.8015000e+02	2.1254200e+06	1.5465214e+00
4.8115000e+02	2.1267400e+06	1.5475181e+00
4.8215000e+02	2.1280600e+06	1.5485198e+00
4.8315000e+02	2.1291600e+06	1.5495268e+00
4.8415000e+02	2.1302600e+06	1.5505393e+00
4.8515000e+02	2.1313600e+06	1.5515576e+00
4.8615000e+02	2.1329000e+06	1.5525821e+00
4.8715000e+02	2.1344400e+06	1.5536130e+00
4.8815000e+02	2.1359800e+06	1.5546507e+00
4.8915000e+02	2.1375200e+06	1.5556953e+00
4.9015000e+02	2.1392800e+06	1.5567472e+00
4.9115000e+02	2.1410400e+06	1.5578066e+00
4.9215000e+02	2.1428000e+06	1.5588740e+00
4.9315000e+02	2.1443400e+06	1.5599494e+00
4.9415000e+02	2.1461000e+06	1.5610333e+00
4.9515000e+02	2.1476400e+06	1.5621259e+00
4.9615000e+02	2.1491800e+06	1.5632276e+00
4.9715000e+02	2.1507200e+06	1.5643385e+00
4.9815000e+02	2.1522600e+06	1.5654590e+00
4.9915000e+02	2.1540200e+06	1.5665893e+00
5.0015000e+02	2.1555600e+06	1.5677299e+00
5.0115000e+02	2.1571000e+06	1.5688808e+00
5.0215000e+02	2.1586400e+06	1.5700483e+00
5.0315000e+02	2.1599600e+06	1.5712477e+00
5.0415000e+02	2.1615000e+06	1.5724781e+00
5.0515000e+02	2.1628200e+06	1.5737377e+00
5.0615000e+02	2.1643600e+06	1.5750249e+00
5.0715000e+02	2.1659000e+06	1.5763378e+00
5.0815000e+02	2.1674400e+06	1.5776746e+00
5.0915000e+02	2.1687600e+06	1.5790336e+00
5.1015000e+02	2.1703000e+06	1.5804130e+00
5.1115000e+02	2.1716200e+06	1.5818110e+00
5.1215000e+02	2.1729400e+06	1.5832259e+00
5.1315000e+02	2.1742600e+06	1.5846558e+00
5.1415000e+02	2.1758000e+06	1.5860990e+00
5.1515000e+02	2.1773400e+06	1.5875538e+00
5.1615000e+02	2.1786600e+06	1.5890182e+00
5.1715000e+02	2.1797600e+06	1.5904907e+00
5.1815000e+02	2.1810800e+06	1.5919693e+00
5.1915000e+02	2.1826200e+06	1.5934523e+00
5.2015000e+02	2.1841600e+06	1.5949380e+00
5.2115000e+02	2.1859200e+06	1.5964245e+00
5.2215000e+02	2.1874600e+06	1.5979101e+00
5.2315000e+02	2.1887800e+06	1.5993930e+00
5.2415000e+02	2.1901000e+06	1.6008715e+00
5.2515000e+02	2.1914200e+06	1.6023436e+00
5.2615000e+02	2.1927400e+06	1.6038078e+00
5.2715000e+02	2.1942800e+06	1.6052622e+00
5.2815000e+02	2.1958200e+06	1.6067050e+00
5.2915000e+02	2.1971400e+06	1.6081345e+00
5.3015000e+02	2.1984600e+06	1.6095488e+00
5.3115000e+02	2.1997800e+06	1.6109462e+00
5.3215000e+02	2.2000000e+06	1.6123249e+00
5.3315000e+02	2.2022000e+06	1.6136832e+00
5.3415000e+02	2.2044000e+06	1.6150193e+00
5.3515000e+02	2.2044000e+06	1.6163314e+00
5.3615000e+02	2.2066000e+06	1.6176176e+00
5.3715000e+02	2.2066000e+06	1.6188763e+00
5.3815000e+02	2.2088000e+06	1.6201057e+00
5.3915000e+02	2.2110000e+06	1.6213040e+00
5.4015000e+02	2.2110000e+06	1.6224694e+00
5.4115000e+02	2.2132000e+06	1.6236001e+00
5.4215000e+02	2.2154000e+06	1.6246944e+00
5.4315000e+02	2.2154000e+06	1.6257505e+00
5.4415000e+02	2.2176000e+06	1.6267665e+00
5.4515000e+02	2.2198000e+06	1.6277408e+00
5.4615000e+02	2.2220000e+06	1.6286716e+00
5.4715000e+02	2.2220000e+06	1.6295571e+00
5.4815000e+02	2.2242000e+06	1.6303986e+00
5.4915000e+02	2.2264000e+06	1.6312203e+00
5.5015000e+02	2.2264000e+06	1.6320278e+00
5.5115000e+02	2.2286000e+06	1.6328215e+00
5.5215000e+02	2.2308000e+06	1.6336016e+00
5.5315000e+02	2.2308000e+06	1.6343685e+00
5.5415000e+02	2.2330000e+06	1.6351225e+00
5.5515000e+02	2.2330000e+06	1.6358637e+00
5.5615000e+02	2.2352000e+06	1.6365927e+00
5.5715000e+02	2.2374000e+06	1.6373096e+00
5.5815000e+02	2.2374000e+06	1.6380148e+00
5.5915000e+02	2.2396000e+06	1.6387085e+00
5.6015000e+02	2.2418000e+06	1.6393911e+00
5.6115000e+02	2.2418000e+06	1.6400628e+00
5.6215000e+02	2.2440000e+06	1.6407241e+00
5.6315000e+02	2.2462000e+06	1.6413751e+00
5.6415000e+02	2.2462000e+06	1.6420161e+00
5.6515000e+02	2.2484000e+06	1.6426476e+00
5.6615000e+02	2.2506000e+06	1.6432697e+00
5.6715000e+02	2.2506000e+06	1.6438828e+00
5.6815000e+02	2.2528000e+06	1.6444872e+00
5.6915000e+02	2.2528000e+06	1.6450832e+00
5.7015000e+02	2.2550000e+06	1.6456711e+00
5.7115000e+02	2.2550000e+06	1.6462511e+00
5.7215000e+02	2.2572000e+06	1.6468237e+00
5.7315000e+02	2.2572000e+06	1.6473890e+00
5.7415000e+02	2.2594000e+06	1.6479474e+00
5.7515000e+02	2.2594000e+06	1.6484993e+00
5.7615000e+02	2.2616000e+06	1.6490448e+00
5.7715000e+02	2.2638000e+06	1.6495843e+00
5.7815000e+02	2.2638000e+06	1.6501182e+00
5.7915000e+02	2.2660000e+06	1.6506466e+00
5.8015000e+02	2.2660000e+06	1.6511700e+00
5.8115000e+02	2.2682000e+06	1.6516886e+00
5.8215000e+02	2.2682000e+06	1.6522027e+00
5.8315000e+02	2.2704000e+06	1.6527126e+00
5.8415000e+02	2.2704000e+06	1.6532186e+00
5.8515000e+02	2.2726000e+06	1.6537210e+00
5.8615000e+02	2.2726000e+06	1.6542202e+00
5.8715000e+02	2.2748000e+06	1.6547164e+00
5.8815000e+02	2.2748000e+06	1.6552099e+00
5.8915000e+02	2.2770000e+06	1.6557011e+00
5.9015000e+02	2.2770000e+06	1.6561901e+00
5.9115000e+02	2.2770000e+06	1.6566775e+00
5.9215000e+02	2.2792000e+06	1.6571633e+00
5.9315000e+02	2.2792000e+06	1.6576480e+00
5.9415000e+02	2.2792000e+06	1.6581318e+00
5.9515000e+02	2.2814000e+06	1.6586151e+00
5.9615000e+02	2.2814000e+06	1.6590981e+00
5.9715000e+02	2.2836000e+06	1.6595812e+00
