---
source: "Nickel Data source: thermophysical properties of matter vol.4 curve 10 plus curve1"
author: "Jia"
---

T (K)	rho_cp (J/m³K)	S (W/mK)
2.0900000e+02	3.4767220e+06	1.0484629e+02
2.1000000e+02	3.4834117e+06	1.0461467e+02
2.1100000e+02	3.4901014e+06	1.0438560e+02
2.1200000e+02	3.4967910e+06	1.0415901e+02
2.1300000e+02	3.5034324e+06	1.0393488e+02
2.1400000e+02	3.5089131e+06	1.0371315e+02
2.1500000e+02	3.5143939e+06	1.0349379e+02
2.1600000e+02	3.5198747e+06	1.0327676e+02
2.1700000e+02	3.5253555e+06	1.0306200e+02
2.1800000e+02	3.5308362e+06	1.0284949e+02
2.1900000e+02	3.5363170e+06	1.0263919e+02
2.2000000e+02	3.5417978e+06	1.0243104e+02
2.2100000e+02	3.5472785e+06	1.0222503e+02
2.2200000e+02	3.5526872e+06	1.0202110e+02
2.2300000e+02	3.5580604e+06	1.0181922e+02
2.2400000e+02	3.5634335e+06	1.0161936e+02
2.2500000e+02	3.5688067e+06	1.0142147e+02
2.2600000e+02	3.5741798e+06	1.0122554e+02
2.2700000e+02	3.5795530e+06	1.0103151e+02
2.2800000e+02	3.5849261e+06	1.0083935e+02
2.2900000e+02	3.5902993e+06	1.0064904e+02
2.3000000e+02	3.5956102e+06	1.0046054e+02
2.3100000e+02	3.6008317e+06	1.0027381e+02
2.3200000e+02	3.6060531e+06	1.0008882e+02
2.3300000e+02	3.6112746e+06	9.9905537e+01
2.3400000e+02	3.6164960e+06	9.9723942e+01
2.3500000e+02	3.6217174e+06	9.9544004e+01
2.3600000e+02	3.6269389e+06	9.9365695e+01
2.3700000e+02	3.6321603e+06	9.9188987e+01
2.3800000e+02	3.6373818e+06	9.9013854e+01
2.3900000e+02	3.6441798e+06	9.8840267e+01
2.4000000e+02	3.6500986e+06	9.8668198e+01
2.4100000e+02	3.6560173e+06	9.8497618e+01
2.4200000e+02	3.6619360e+06	9.8328499e+01
2.4300000e+02	3.6678547e+06	9.8160816e+01
2.4400000e+02	3.6737734e+06	9.7994546e+01
2.4500000e+02	3.6796921e+06	9.7829665e+01
2.4600000e+02	3.6856108e+06	9.7666150e+01
2.4700000e+02	3.6915295e+06	9.7503979e+01
2.4800000e+02	3.6988534e+06	9.7343128e+01
2.4900000e+02	3.7040842e+06	9.7183573e+01
2.5000000e+02	3.7093150e+06	9.7025292e+01
2.5100000e+02	3.7145458e+06	9.6868262e+01
2.5200000e+02	3.7197766e+06	9.6712458e+01
2.5300000e+02	3.7250074e+06	9.6557861e+01
2.5400000e+02	3.7302382e+06	9.6404449e+01
2.5500000e+02	3.7354690e+06	9.6252204e+01
2.5600000e+02	3.7406998e+06	9.6101106e+01
2.5700000e+02	3.7458821e+06	9.5951135e+01
2.5800000e+02	3.7509335e+06	9.5802273e+01
2.5900000e+02	3.7559849e+06	9.5654500e+01
2.6000000e+02	3.7610362e+06	9.5507799e+01
2.6100000e+02	3.7660876e+06	9.5362152e+01
2.6200000e+02	3.7711390e+06	9.5217539e+01
2.6300000e+02	3.7761904e+06	9.5073943e+01
2.6400000e+02	3.7812417e+06	9.4931347e+01
2.6500000e+02	3.7862931e+06	9.4789735e+01
2.6600000e+02	3.7912636e+06	9.4649090e+01
2.6700000e+02	3.7961178e+06	9.4509394e+01
2.6800000e+02	3.8009719e+06	9.4370632e+01
2.6900000e+02	3.8058261e+06	9.4232789e+01
2.7000000e+02	3.8106802e+06	9.4095849e+01
2.7100000e+02	3.8155343e+06	9.3959797e+01
2.7200000e+02	3.8203885e+06	9.3824619e+01
2.7300000e+02	3.8252426e+06	9.3690300e+01
2.7400000e+02	3.8300968e+06	9.3556826e+01
2.7500000e+02	3.8349209e+06	9.3424183e+01
2.7600000e+02	3.8396172e+06	9.3292357e+01
2.7700000e+02	3.8443134e+06	9.3161334e+01
2.7800000e+02	3.8490096e+06	9.3031102e+01
2.7900000e+02	3.8537059e+06	9.2901647e+01
2.8000000e+02	3.8584021e+06	9.2772957e+01
2.8100000e+02	3.8630984e+06	9.2645019e+01
2.8200000e+02	3.8677946e+06	9.2517820e+01
2.8300000e+02	3.8724909e+06	9.2391347e+01
2.8400000e+02	3.8771871e+06	9.2265590e+01
2.8500000e+02	3.8828651e+06	9.2140538e+01
2.8600000e+02	3.8890489e+06	9.2016178e+01
2.8700000e+02	3.8952327e+06	9.1892500e+01
2.8800000e+02	3.9014165e+06	9.1769492e+01
2.8900000e+02	3.9076003e+06	9.1647144e+01
2.9000000e+02	3.9137841e+06	9.1525445e+01
2.9100000e+02	3.9199679e+06	9.1404384e+01
2.9200000e+02	3.9261517e+06	9.1283952e+01
2.9300000e+02	3.9323355e+06	9.1164138e+01
2.9400000e+02	3.9385280e+06	9.1044931e+01
2.9500000e+02	3.9455806e+06	9.0926324e+01
2.9600000e+02	3.9526332e+06	9.0808307e+01
2.9700000e+02	3.9596859e+06	9.0690870e+01
2.9800000e+02	3.9667385e+06	9.0574005e+01
2.9900000e+02	3.9737911e+06	9.0457702e+01
3.0000000e+02	3.9808438e+06	9.0341953e+01
3.0100000e+02	3.9878964e+06	9.0226749e+01
3.0200000e+02	3.9949490e+06	9.0112081e+01
3.0300000e+02	4.0018976e+06	8.9997939e+01
3.0400000e+02	4.0037439e+06	8.9884317e+01
3.0500000e+02	4.0055902e+06	8.9771206e+01
3.0600000e+02	4.0074366e+06	8.9658599e+01
3.0700000e+02	4.0092829e+06	8.9546488e+01
3.0800000e+02	4.0111292e+06	8.9434865e+01
3.0900000e+02	4.0129756e+06	8.9323722e+01
3.1000000e+02	4.0148219e+06	8.9213054e+01
3.1100000e+02	4.0166682e+06	8.9102852e+01
3.1200000e+02	4.0185146e+06	8.8993110e+01
3.1300000e+02	4.0203609e+06	8.8883820e+01
3.1400000e+02	4.0222073e+06	8.8774976e+01
3.1500000e+02	4.0240536e+06	8.8666571e+01
3.1600000e+02	4.0258999e+06	8.8558599e+01
3.1700000e+02	4.0277463e+06	8.8451053e+01
3.1800000e+02	4.0295926e+06	8.8343927e+01
3.1900000e+02	4.0314389e+06	8.8237214e+01
3.2000000e+02	4.0332853e+06	8.8130909e+01
3.2100000e+02	4.0351316e+06	8.8025007e+01
3.2200000e+02	4.0369779e+06	8.7919500e+01
3.2300000e+02	4.0388243e+06	8.7814385e+01
3.2400000e+02	4.0406706e+06	8.7709654e+01
3.2500000e+02	4.0425170e+06	8.7605302e+01
3.2600000e+02	4.0448371e+06	8.7501323e+01
3.2700000e+02	4.0472757e+06	8.7397712e+01
3.2800000e+02	4.0497143e+06	8.7294462e+01
3.2900000e+02	4.0521528e+06	8.7191569e+01
3.3000000e+02	4.0545914e+06	8.7089028e+01
3.3100000e+02	4.0570300e+06	8.6986835e+01
3.3200000e+02	4.0594686e+06	8.6884985e+01
3.3300000e+02	4.0619072e+06	8.6783474e+01
3.3400000e+02	4.0643458e+06	8.6682297e+01
3.3500000e+02	4.0667844e+06	8.6581450e+01
3.3600000e+02	4.0692229e+06	8.6480927e+01
3.3700000e+02	4.0716615e+06	8.6380724e+01
3.3800000e+02	4.0741001e+06	8.6280837e+01
3.3900000e+02	4.0765387e+06	8.6181261e+01
3.4000000e+02	4.0789773e+06	8.6081992e+01
3.4100000e+02	4.0814159e+06	8.5983025e+01
3.4200000e+02	4.0838544e+06	8.5884356e+01
3.4300000e+02	4.0862930e+06	8.5785981e+01
3.4400000e+02	4.0887316e+06	8.5687896e+01
3.4500000e+02	4.0911702e+06	8.5590098e+01
3.4600000e+02	4.0936088e+06	8.5492584e+01
3.4700000e+02	4.0960474e+06	8.5395350e+01
3.4800000e+02	4.0984859e+06	8.5298393e+01
3.4900000e+02	4.1009245e+06	8.5201710e+01
3.5000000e+02	4.1033631e+06	8.5105296e+01
3.5100000e+02	4.1058017e+06	8.5009149e+01
3.5200000e+02	4.1076818e+06	8.4913264e+01
3.5300000e+02	4.1094223e+06	8.4817638e+01
3.5400000e+02	4.1111628e+06	8.4722268e+01
3.5500000e+02	4.1129032e+06	8.4627149e+01
3.5600000e+02	4.1146437e+06	8.4532279e+01
3.5700000e+02	4.1163842e+06	8.4437654e+01
3.5800000e+02	4.1181247e+06	8.4343273e+01
3.5900000e+02	4.1198652e+06	8.4249130e+01
3.6000000e+02	4.1216056e+06	8.4155225e+01
3.6100000e+02	4.1233461e+06	8.4061554e+01
3.6200000e+02	4.1250866e+06	8.3968114e+01
3.6300000e+02	4.1268271e+06	8.3874904e+01
3.6400000e+02	4.1285676e+06	8.3781920e+01
3.6500000e+02	4.1303080e+06	8.3689159e+01
3.6600000e+02	4.1320485e+06	8.3596620e+01
3.6700000e+02	4.1345905e+06	8.3504300e+01
3.6800000e+02	4.1373329e+06	8.3412195e+01
3.6900000e+02	4.1400752e+06	8.3320304e+01
3.7000000e+02	4.1428176e+06	8.3228625e+01
3.7100000e+02	4.1455599e+06	8.3137154e+01
3.7200000e+02	4.1483023e+06	8.3045889e+01
3.7300000e+02	4.1510446e+06	8.2954828e+01
3.7400000e+02	4.1537870e+06	8.2863968e+01
3.7500000e+02	4.1565293e+06	8.2773308e+01
3.7600000e+02	4.1592717e+06	8.2682845e+01
3.7700000e+02	4.1620140e+06	8.2592577e+01
3.7800000e+02	4.1647564e+06	8.2502502e+01
3.7900000e+02	4.1674987e+06	8.2412617e+01
3.8000000e+02	4.1706821e+06	8.2322921e+01
3.8100000e+02	4.1756295e+06	8.2233413e+01
3.8200000e+02	4.1805770e+06	8.2144088e+01
3.8300000e+02	4.1855244e+06	8.2054947e+01
3.8400000e+02	4.1904718e+06	8.1965987e+01
3.8500000e+02	4.1954192e+06	8.1877207e+01
3.8600000e+02	4.2003667e+06	8.1788604e+01
