---
source: "Chromium Data source: thermophysical properties of matter vol.4 curve 4 plus curve6"
author: "Jia"
---

T (K)	rho_cp (J/m³K)	S (W/mK)
2.4300000e+02	3.0347046e+06	1.0233286e+02
2.4400000e+02	3.0396133e+06	1.0219016e+02
2.4500000e+02	3.0444818e+06	1.0204891e+02
2.4600000e+02	3.0493110e+06	1.0190909e+02
2.4700000e+02	3.0541017e+06	1.0177066e+02
2.4800000e+02	3.0588545e+06	1.0163360e+02
2.4900000e+02	3.0635703e+06	1.0149790e+02
2.5000000e+02	3.0682497e+06	1.0136355e+02
2.5100000e+02	3.0728935e+06	1.0123052e+02
2.5200000e+02	3.0775023e+06	1.0109881e+02
2.5300000e+02	3.0820767e+06	1.0096838e+02
2.5400000e+02	3.0866176e+06	1.0083923e+02
2.5500000e+02	3.0911254e+06	1.0071132e+02
2.5600000e+02	3.0956009e+06	1.0058463e+02
2.5700000e+02	3.1000447e+06	1.0045915e+02
2.5800000e+02	3.1044573e+06	1.0033484e+02
2.5900000e+02	3.1088394e+06	1.0021171e+02
2.6000000e+02	3.1131915e+06	1.0008972e+02
2.6100000e+02	3.1175142e+06	9.9968869e+01
2.6200000e+02	3.1218080e+06	9.9849139e+01
2.6300000e+02	3.1260736e+06	9.9730514e+01
2.6400000e+02	3.1303113e+06	9.9612977e+01
2.6500000e+02	3.1345218e+06	9.9496511e+01
2.6600000e+02	3.1387055e+06	9.9381099e+01
2.6700000e+02	3.1428629e+06	9.9266723e+01
2.6800000e+02	3.1469945e+06	9.9153367e+01
2.6900000e+02	3.1511007e+06	9.9041017e+01
2.7000000e+02	3.1551821e+06	9.8929657e+01
2.7100000e+02	3.1592390e+06	9.8819274e+01
2.7200000e+02	3.1632719e+06	9.8709852e+01
2.7300000e+02	3.1672811e+06	9.8601377e+01
2.7400000e+02	3.1712671e+06	9.8493835e+01
2.7500000e+02	3.1752303e+06	9.8387212e+01
2.7600000e+02	3.1791711e+06	9.8281494e+01
2.7700000e+02	3.1830898e+06	9.8176668e+01
2.7800000e+02	3.1869867e+06	9.8072719e+01
2.7900000e+02	3.1908624e+06	9.7969636e+01
2.8000000e+02	3.1947169e+06	9.7867405e+01
2.8100000e+02	3.1985508e+06	9.7766013e+01
2.8200000e+02	3.2023643e+06	9.7665448e+01
2.8300000e+02	3.2061577e+06	9.7565698e+01
2.8400000e+02	3.2099313e+06	9.7466749e+01
2.8500000e+02	3.2136855e+06	9.7368591e+01
2.8600000e+02	3.2174204e+06	9.7271212e+01
2.8700000e+02	3.2211363e+06	9.7174598e+01
2.8800000e+02	3.2248336e+06	9.7078739e+01
2.8900000e+02	3.2285124e+06	9.6983624e+01
2.9000000e+02	3.2321730e+06	9.6889242e+01
2.9100000e+02	3.2358157e+06	9.6795583e+01
2.9200000e+02	3.2394406e+06	9.6702636e+01
2.9300000e+02	3.2430479e+06	9.6610391e+01
2.9400000e+02	3.2466379e+06	9.6518837e+01
2.9500000e+02	3.2502108e+06	9.6427964e+01
2.9600000e+02	3.2537667e+06	9.6337761e+01
2.9700000e+02	3.2573058e+06	9.6248216e+01
2.9800000e+02	3.2608284e+06	9.6159321e+01
2.9900000e+02	3.2643345e+06	9.6071065e+01
3.0000000e+02	3.2678243e+06	9.5983441e+01
3.0100000e+02	3.2712981e+06	9.5896438e+01
3.0200000e+02	3.2747558e+06	9.5810049e+01
3.0300000e+02	3.2781978e+06	9.5724264e+01
3.0400000e+02	3.2816240e+06	9.5639075e+01
3.0500000e+02	3.2850346e+06	9.5554472e+01
3.0600000e+02	3.2884297e+06	9.5470446e+01
3.0700000e+02	3.2918095e+06	9.5386989e+01
3.0800000e+02	3.2951741e+06	9.5304092e+01
3.0900000e+02	3.2985235e+06	9.5221746e+01
3.1000000e+02	3.3018579e+06	9.5139944e+01
3.1100000e+02	3.3051772e+06	9.5058678e+01
3.1200000e+02	3.3084817e+06	9.4977940e+01
3.1300000e+02	3.3117714e+06	9.4897723e+01
3.1400000e+02	3.3150464e+06	9.4818019e+01
3.1500000e+02	3.3183066e+06	9.4738821e+01
3.1600000e+02	3.3215523e+06	9.4660120e+01
3.1700000e+02	3.3247835e+06	9.4581910e+01
3.1800000e+02	3.3280001e+06	9.4504183e+01
3.1900000e+02	3.3312023e+06	9.4426931e+01
3.2000000e+02	3.3343901e+06	9.4350149e+01
3.2100000e+02	3.3375635e+06	9.4273830e+01
3.2200000e+02	3.3407226e+06	9.4197966e+01
3.2300000e+02	3.3438674e+06	9.4122551e+01
3.2400000e+02	3.3469980e+06	9.4047578e+01
3.2500000e+02	3.3501143e+06	9.3973042e+01
3.2600000e+02	3.3532164e+06	9.3898935e+01
3.2700000e+02	3.3563044e+06	9.3825251e+01
3.2800000e+02	3.3593781e+06	9.3751984e+01
3.2900000e+02	3.3624377e+06	9.3679127e+01
3.3000000e+02	3.3654831e+06	9.3606676e+01
3.3100000e+02	3.3685144e+06	9.3534624e+01
3.3200000e+02	3.3715316e+06	9.3462966e+01
3.3300000e+02	3.3745346e+06	9.3391697e+01
3.3400000e+02	3.3775235e+06	9.3320811e+01
3.3500000e+02	3.3804983e+06	9.3250301e+01
3.3600000e+02	3.3834590e+06	9.3180163e+01
3.3700000e+02	3.3864055e+06	9.3110391e+01
3.3800000e+02	3.3893378e+06	9.3040979e+01
3.3900000e+02	3.3922560e+06	9.2971922e+01
3.4000000e+02	3.3951600e+06	9.2903215e+01
3.4100000e+02	3.3980499e+06	9.2834854e+01
3.4200000e+02	3.4009256e+06	9.2766833e+01
3.4300000e+02	3.4037871e+06	9.2699148e+01
3.4400000e+02	3.4066343e+06	9.2631794e+01
3.4500000e+02	3.4094674e+06	9.2564767e+01
3.4600000e+02	3.4122861e+06	9.2498062e+01
3.4700000e+02	3.4150907e+06	9.2431674e+01
3.4800000e+02	3.4178809e+06	9.2365600e+01
3.4900000e+02	3.4206568e+06	9.2299833e+01
3.5000000e+02	3.4234185e+06	9.2234371e+01
3.5100000e+02	3.4261657e+06	9.2169208e+01
3.5200000e+02	3.4288987e+06	9.2104339e+01
3.5300000e+02	3.4316172e+06	9.2039760e+01
3.5400000e+02	3.4343214e+06	9.1975468e+01
3.5500000e+02	3.4370111e+06	9.1911457e+01
3.5600000e+02	3.4396865e+06	9.1847724e+01
3.5700000e+02	3.4423473e+06	9.1784266e+01
3.5800000e+02	3.4449937e+06	9.1721079e+01
3.5900000e+02	3.4476256e+06	9.1658158e+01
3.6000000e+02	3.4502430e+06	9.1595500e+01
3.6100000e+02	3.4528459e+06	9.1533102e+01
3.6200000e+02	3.4554342e+06	9.1470961e+01
3.6300000e+02	3.4580080e+06	9.1409071e+01
3.6400000e+02	3.4605672e+06	9.1347431e+01
3.6500000e+02	3.4631118e+06	9.1286036e+01
3.6600000e+02	3.4656418e+06	9.1224884e+01
3.6700000e+02	3.4681572e+06	9.1163971e+01
3.6800000e+02	3.4706580e+06	9.1103295e+01
3.6900000e+02	3.4731442e+06	9.1042851e+01
3.7000000e+02	3.4756157e+06	9.0982637e+01
3.7100000e+02	3.4780725e+06	9.0922648e+01
3.7200000e+02	3.4805147e+06	9.0862881e+01
3.7300000e+02	3.4829423e+06	9.0803333e+01
3.7400000e+02	3.4853552e+06	9.0743999e+01
3.7500000e+02	3.4877534e+06	9.0684878e+01
3.7600000e+02	3.4901369e+06	9.0625968e+01
3.7700000e+02	3.4925058e+06	9.0567266e+01
3.7800000e+02	3.4948600e+06	9.0508770e+01
3.7900000e+02	3.4971995e+06	9.0450477e+01
3.8000000e+02	3.4995244e+06	9.0392385e+01
3.8100000e+02	3.5018346e+06	9.0334490e+01
3.8200000e+02	3.5041302e+06	9.0276789e+01
3.8300000e+02	3.5064112e+06	9.0219279e+01
3.8400000e+02	3.5086775e+06	9.0161957e+01
3.8500000e+02	3.5109292e+06	9.0104820e+01
3.8600000e+02	3.5131664e+06	9.0047866e+01
3.8700000e+02	3.5153889e+06	8.9991094e+01
3.8800000e+02	3.5175970e+06	8.9934500e+01
3.8900000e+02	3.5197905e+06	8.9878083e+01
3.9000000e+02	3.5219695e+06	8.9821840e+01
3.9100000e+02	3.5241340e+06	8.9765770e+01
3.9200000e+02	3.5262840e+06	8.9709869e+01
3.9300000e+02	3.5284197e+06	8.9654135e+01
3.9400000e+02	3.5305409e+06	8.9598567e+01
3.9500000e+02	3.5326478e+06	8.9543162e+01
3.9600000e+02	3.5347404e+06	8.9487917e+01
3.9700000e+02	3.5368187e+06	8.9432831e+01
3.9800000e+02	3.5388828e+06	8.9377902e+01
3.9900000e+02	3.5409326e+06	8.9323127e+01
4.0000000e+02	3.5429683e+06	8.9268504e+01
4.0100000e+02	3.5449900e+06	8.9214031e+01
4.0200000e+02	3.5469975e+06	8.9159707e+01
4.0300000e+02	3.5489910e+06	8.9105529e+01
4.0400000e+02	3.5509706e+06	8.9051496e+01
4.0500000e+02	3.5529363e+06	8.8997606e+01
4.0600000e+02	3.5548882e+06	8.8943857e+01
4.0700000e+02	3.5568262e+06	8.8890247e+01
4.0800000e+02	3.5587506e+06	8.8836775e+01
4.0900000e+02	3.5606613e+06	8.8783438e+01
4.1000000e+02	3.5625584e+06	8.8730236e+01
4.1100000e+02	3.5644420e+06	8.8677166e+01
4.1200000e+02	3.5663121e+06	8.8624226e+01
4.1300000e+02	3.5681688e+06	8.8571415e+01
4.1400000e+02	3.5700123e+06	8.8518729e+01
4.1500000e+02	3.5718425e+06	8.8466169e+01
4.1600000e+02	3.5736595e+06	8.8413733e+01
4.1700000e+02	3.5754635e+06	8.8361419e+01
4.1800000e+02	3.5772545e+06	8.8309226e+01
4.1900000e+02	3.5790326e+06	8.8257153e+01
4.2000000e+02	3.5807979e+06	8.8205199e+01
4.2100000e+02	3.5825504e+06	8.8153362e+01
4.2200000e+02	3.5842903e+06	8.8101640e+01
4.2300000e+02	3.5860176e+06	8.8050032e+01
4.2400000e+02	3.5877325e+06	8.7998537e+01
4.2500000e+02	3.5894350e+06	8.7947153e+01
4.2600000e+02	3.5911253e+06	8.7895878e+01
4.2700000e+02	3.5928034e+06	8.7844711e+01
4.2800000e+02	3.5944694e+06	8.7793651e+01
4.2900000e+02	3.5961235e+06	8.7742695e+01
4.3000000e+02	3.5977657e+06	8.7691844e+01
4.3100000e+02	3.5993961e+06	8.7641095e+01
4.3200000e+02	3.6010149e+06	8.7590449e+01
4.3300000e+02	3.6026222e+06	8.7539904e+01
4.3400000e+02	3.6042180e+06	8.7489460e+01
4.3500000e+02	3.6058025e+06	8.7439114e+01
4.3600000e+02	3.6073759e+06	8.7388867e+01
4.3700000e+02	3.6089381e+06	8.7338715e+01
4.3800000e+02	3.6104894e+06	8.7288657e+01
4.3900000e+02	3.6120298e+06	8.7238693e+01
4.4000000e+02	3.6135595e+06	8.7188820e+01
4.4100000e+02	3.6150785e+06	8.7139038e+01
4.4200000e+02	3.6165871e+06	8.7089346e+01
4.4300000e+02	3.6180853e+06	8.7039744e+01
4.4400000e+02	3.6195732e+06	8.6990231e+01
4.4500000e+02	3.6210511e+06	8.6940806e+01
4.4600000e+02	3.6225189e+06	8.6891468e+01
4.4700000e+02	3.6239769e+06	8.6842216e+01
4.4800000e+02	3.6254251e+06	8.6793047e+01
4.4900000e+02	3.6268637e+06	8.6743961e+01
4.5000000e+02	3.6282928e+06	8.6694958e+01
4.5100000e+02	3.6297126e+06	8.6646036e+01
4.5200000e+02	3.6311232e+06	8.6597195e+01
4.5300000e+02	3.6325246e+06	8.6548434e+01
4.5400000e+02	3.6339171e+06	8.6499753e+01
4.5500000e+02	3.6353008e+06	8.6451150e+01
4.5600000e+02	3.6366758e+06	8.6402626e+01
4.5700000e+02	3.6380422e+06	8.6354179e+01
4.5800000e+02	3.6394003e+06	8.6305806e+01
4.5900000e+02	3.6407500e+06	8.6257509e+01
4.6000000e+02	3.6420916e+06	8.6209285e+01
4.6100000e+02	3.6434251e+06	8.6161134e+01
4.6200000e+02	3.6447508e+06	8.6113054e+01
4.6300000e+02	3.6460688e+06	8.6065046e+01
4.6400000e+02	3.6473792e+06	8.6017108e+01
4.6500000e+02	3.6486820e+06	8.5969239e+01
4.6600000e+02	3.6499776e+06	8.5921440e+01
4.6700000e+02	3.6512660e+06	8.5873710e+01
4.6800000e+02	3.6525473e+06	8.5826049e+01
4.6900000e+02	3.6538217e+06	8.5778456e+01
4.7000000e+02	3.6550893e+06	8.5730931e+01
4.7100000e+02	3.6563503e+06	8.5683472e+01
4.7200000e+02	3.6576048e+06	8.5636079e+01
4.7300000e+02	3.6588529e+06	8.5588750e+01
4.7400000e+02	3.6600947e+06	8.5541484e+01
4.7500000e+02	3.6613305e+06	8.5494281e+01
4.7600000e+02	3.6625603e+06	8.5447139e+01
4.7700000e+02	3.6637843e+06	8.5400060e+01
4.7800000e+02	3.6650026e+06	8.5353042e+01
4.7900000e+02	3.6662154e+06	8.5306086e+01
4.8000000e+02	3.6674227e+06	8.5259191e+01
4.8100000e+02	3.6686247e+06	8.5212356e+01
4.8200000e+02	3.6698216e+06	8.5165581e+01
4.8300000e+02	3.6710134e+06	8.5118863e+01
4.8400000e+02	3.6722004e+06	8.5072204e+01
4.8500000e+02	3.6733825e+06	8.5025600e+01
4.8600000e+02	3.6745601e+06	8.4979054e+01
4.8700000e+02	3.6757331e+06	8.4932563e+01
4.8800000e+02	3.6769018e+06	8.4886129e+01
4.8900000e+02	3.6780662e+06	8.4839750e+01
4.9000000e+02	3.6792265e+06	8.4793427e+01
4.9100000e+02	3.6803827e+06	8.4747159e+01
4.9200000e+02	3.6815351e+06	8.4700946e+01
4.9300000e+02	3.6826837e+06	8.4654785e+01
4.9400000e+02	3.6838287e+06	8.4608677e+01
4.9500000e+02	3.6849702e+06	8.4562621e+01
4.9600000e+02	3.6861082e+06	8.4516616e+01
4.9700000e+02	3.6872430e+06	8.4470662e+01
4.9800000e+02	3.6883746e+06	8.4424759e+01
